ID_Ressource,Type_Ressource,Disponibilite,Utilisation
1,dream,True,Know size add soon land yes.
2,there,True,Society table police interesting challenge book.
3,pick,True,Apply more director service.
4,note,True,Garden involve recent role term mother leave.
5,soldier,False,Wind player happy enter method finally.
6,spend,True,Public reason discussion food.
7,one,False,Gun sell wear another put.
8,surface,False,Effort present expect level science thank.
9,indicate,True,Born war child require.
10,despite,False,Experience Mr she room man vote safe.
11,know,False,Late top huge deal.
12,former,False,Population question coach college court.
13,energy,False,Much rate standard today government actually myself.
14,item,False,Parent hit east among.
15,security,True,Resource create hit yes without foot.
16,raise,False,Me certain person director summer thing activity.
17,car,False,Method resource how listen.
18,black,True,Method attack interesting writer everything.
19,myself,False,True western energy into stay.
20,particularly,False,Standard these read little people.
21,ever,False,Relate need administration rather sense song prove.
22,generation,True,Poor but Mr whether mention.
23,hotel,True,Them save sound nothing international.
24,place,False,Month simply those share out fill world loss.
25,arrive,False,Study bit style race.
26,hundred,False,Heavy already become rock our.
27,mention,True,Report company car data news difficult.
28,account,False,Clear dog nothing billion wish world process.
29,appear,True,Air turn church thing decide common term.
30,ago,False,Republican news deep.
31,phone,False,Building staff address discover.
32,reality,True,Administration reality history.
33,rather,False,Here and ahead subject others test.
34,page,False,Resource business natural stand country himself behavior.
35,fish,True,True dog need up.
36,surface,True,Political be member another lot.
37,century,False,Situation short nearly catch fire impact.
38,fire,False,First put best about safe yes lead seem.
39,nice,False,About stage everything forget.
40,partner,True,Here street former total animal item to hope.
41,enough,False,Begin actually positive trouble federal.
42,country,True,Remember region through wall.
43,anyone,False,Ability language food human stand.
44,finally,False,Especially peace among past happen no crime information.
45,wife,False,Family cell move nothing perform.
46,however,False,Home learn address doctor.
47,how,False,Newspaper mind play brother more radio.
48,rest,False,Sit authority air sort investment guy such.
49,treatment,True,Lawyer help really door against beautiful it.
50,eye,True,Lawyer white miss next their herself.
51,stock,False,Within network accept want today.
52,weight,True,Various wait six guess member will.
53,sit,True,Leave lead relationship provide.
